n, comparisons_quick, compartisons_merge, time_quick, time_merge
1000000, 35433606, 18673917, 142000.000000, 254000.000000
1000000, 34440845, 18674182, 143000.000000, 255000.000000
1000000, 35227518, 18674656, 139000.000000, 255000.000000
1000000, 34146139, 18673505, 143000.000000, 255000.000000
1000000, 34567759, 18674774, 142000.000000, 253000.000000
1000000, 35567006, 18674512, 143000.000000, 254000.000000
1000000, 35297835, 18673947, 145000.000000, 255000.000000
1000000, 35239304, 18674269, 141000.000000, 254000.000000
1000000, 34834138, 18673793, 141000.000000, 253000.000000
1000000, 34871883, 18672997, 140000.000000, 254000.000000
1000000, 34325661, 18674583, 142000.000000, 253000.000000
1000000, 35078577, 18673613, 141000.000000, 255000.000000
1000000, 34737870, 18673083, 140000.000000, 256000.000000
1000000, 34619905, 18675124, 142000.000000, 253000.000000
1000000, 36173345, 18672962, 142000.000000, 254000.000000
1000000, 34387615, 18674194, 141000.000000, 254000.000000
1000000, 34263090, 18674146, 142000.000000, 254000.000000
1000000, 34824879, 18673795, 141000.000000, 253000.000000
1000000, 34354124, 18672353, 140000.000000, 256000.000000
1000000, 34916259, 18675323, 141000.000000, 254000.000000
1000000, 35261360, 18674738, 141000.000000, 255000.000000
1000000, 34240959, 18674239, 143000.000000, 254000.000000
1000000, 35417222, 18674068, 140000.000000, 255000.000000
1000000, 34657930, 18674121, 142000.000000, 255000.000000
1000000, 34049132, 18674808, 142000.000000, 254000.000000
1000000, 35328977, 18675188, 141000.000000, 254000.000000
1000000, 35743652, 18674633, 143000.000000, 254000.000000
1000000, 34521521, 18674742, 141000.000000, 255000.000000
1000000, 35449062, 18674076, 140000.000000, 255000.000000
1000000, 35432085, 18675329, 142000.000000, 254000.000000
1000000, 34873296, 18674938, 140000.000000, 254000.000000
1000000, 34628971, 18674272, 141000.000000, 255000.000000
1000000, 34561325, 18673003, 141000.000000, 254000.000000
1000000, 34432198, 18675062, 141000.000000, 253000.000000
1000000, 34407691, 18674815, 140000.000000, 254000.000000
1000000, 35011823, 18674715, 142000.000000, 254000.000000
1000000, 35925337, 18673835, 143000.000000, 253000.000000
1000000, 34402836, 18674312, 142000.000000, 254000.000000
1000000, 34351805, 18673893, 141000.000000, 253000.000000
1000000, 35780971, 18673962, 142000.000000, 254000.000000
1000000, 34330156, 18674311, 142000.000000, 254000.000000
1000000, 35928891, 18673810, 141000.000000, 254000.000000
1000000, 35825779, 18673332, 141000.000000, 254000.000000
1000000, 34441723, 18673548, 141000.000000, 255000.000000
1000000, 35127515, 18673406, 140000.000000, 254000.000000
1000000, 35856754, 18673124, 143000.000000, 254000.000000
1000000, 34959886, 18674459, 141000.000000, 254000.000000
1000000, 34948983, 18673975, 142000.000000, 253000.000000
1000000, 36354773, 18672885, 143000.000000, 255000.000000
1000000, 34874475, 18674191, 140000.000000, 253000.000000
1000000, 34577908, 18675598, 140000.000000, 254000.000000
1000000, 35228736, 18674592, 142000.000000, 255000.000000
1000000, 35300692, 18674253, 142000.000000, 253000.000000
1000000, 35623255, 18674453, 142000.000000, 254000.000000
1000000, 34969532, 18673429, 142000.000000, 255000.000000
1000000, 34766054, 18674743, 142000.000000, 254000.000000
1000000, 35505043, 18674541, 141000.000000, 254000.000000
1000000, 33721812, 18674060, 140000.000000, 254000.000000
1000000, 35765768, 18673898, 140000.000000, 253000.000000
1000000, 34851360, 18673719, 142000.000000, 254000.000000
1000000, 34665432, 18674771, 140000.000000, 253000.000000
1000000, 35037302, 18673399, 141000.000000, 255000.000000
1000000, 34292472, 18674256, 141000.000000, 255000.000000
1000000, 34263781, 18673599, 141000.000000, 254000.000000
1000000, 36597782, 18674136, 143000.000000, 254000.000000
1000000, 35194141, 18675087, 144000.000000, 253000.000000
1000000, 35271923, 18674155, 142000.000000, 254000.000000
1000000, 34230347, 18674407, 141000.000000, 254000.000000
1000000, 34548053, 18674212, 143000.000000, 254000.000000
1000000, 34980498, 18673476, 144000.000000, 254000.000000
1000000, 35262941, 18674589, 139000.000000, 253000.000000
1000000, 34108298, 18674450, 142000.000000, 253000.000000
1000000, 35080096, 18675043, 143000.000000, 255000.000000
1000000, 34368742, 18674315, 141000.000000, 256000.000000
1000000, 35416391, 18673802, 140000.000000, 253000.000000
1000000, 36290214, 18675058, 144000.000000, 253000.000000
1000000, 35480302, 18673223, 143000.000000, 254000.000000
1000000, 34653387, 18674604, 140000.000000, 254000.000000
1000000, 34725271, 18673741, 141000.000000, 253000.000000
1000000, 34536930, 18674208, 142000.000000, 254000.000000
1000000, 34649375, 18674318, 142000.000000, 254000.000000
1000000, 34920507, 18673527, 141000.000000, 254000.000000
1000000, 35045817, 18674061, 141000.000000, 255000.000000
1000000, 35194971, 18673581, 142000.000000, 255000.000000
1000000, 35107806, 18674169, 141000.000000, 254000.000000
1000000, 34007999, 18674319, 142000.000000, 254000.000000
1000000, 34617872, 18674053, 140000.000000, 253000.000000
1000000, 34893611, 18674426, 141000.000000, 254000.000000
1000000, 35413431, 18675323, 141000.000000, 254000.000000
1000000, 35192656, 18674055, 140000.000000, 254000.000000
1000000, 34701746, 18674896, 141000.000000, 253000.000000
1000000, 35564895, 18675041, 143000.000000, 253000.000000
1000000, 34898703, 18674019, 141000.000000, 253000.000000
1000000, 35389655, 18674413, 143000.000000, 253000.000000
1000000, 34805493, 18673977, 141000.000000, 256000.000000
1000000, 34076789, 18674720, 141000.000000, 254000.000000
1000000, 35727620, 18673438, 142000.000000, 253000.000000
1000000, 35327110, 18674615, 141000.000000, 254000.000000
1000000, 34276528, 18674699, 142000.000000, 254000.000000
1000000, 34578218, 18673368, 143000.000000, 254000.000000
1000000, 34895229, 18674283, 141000.000000, 254000.000000
1000000, 34195837, 18674604, 141000.000000, 254000.000000
1000000, 35404896, 18673812, 142000.000000, 254000.000000
1000000, 35058972, 18674202, 141000.000000, 254000.000000
1000000, 34292064, 18673753, 140000.000000, 254000.000000
1000000, 34997476, 18674375, 141000.000000, 254000.000000
1000000, 34785050, 18674160, 142000.000000, 254000.000000
1000000, 34527557, 18674238, 142000.000000, 253000.000000
1000000, 34830688, 18674805, 141000.000000, 255000.000000
1000000, 34804234, 18673518, 140000.000000, 254000.000000
1000000, 37768911, 18674521, 144000.000000, 254000.000000
1000000, 35522133, 18673923, 143000.000000, 253000.000000
1000000, 34789386, 18673987, 139000.000000, 255000.000000
1000000, 34851709, 18674460, 140000.000000, 254000.000000
1000000, 35977021, 18673405, 140000.000000, 254000.000000
1000000, 34675115, 18673504, 141000.000000, 254000.000000
1000000, 34577027, 18674477, 143000.000000, 254000.000000
1000000, 35648456, 18674613, 141000.000000, 254000.000000
1000000, 35784839, 18674078, 144000.000000, 254000.000000
1000000, 34661859, 18673851, 144000.000000, 254000.000000
1000000, 34629405, 18673370, 141000.000000, 253000.000000
1000000, 34621902, 18673664, 142000.000000, 254000.000000
1000000, 34262419, 18674893, 141000.000000, 253000.000000
1000000, 35005484, 18674222, 143000.000000, 254000.000000
1000000, 35767659, 18674185, 142000.000000, 253000.000000
1000000, 35109318, 18674143, 142000.000000, 254000.000000
1000000, 34336589, 18674165, 142000.000000, 255000.000000
1000000, 35536853, 18674261, 142000.000000, 253000.000000
1000000, 35268995, 18674906, 143000.000000, 253000.000000
1000000, 35361974, 18674762, 141000.000000, 254000.000000
1000000, 35530075, 18673038, 143000.000000, 254000.000000
1000000, 35768155, 18674445, 142000.000000, 254000.000000
1000000, 33982507, 18674194, 141000.000000, 253000.000000
1000000, 34265973, 18674266, 142000.000000, 253000.000000
1000000, 35125374, 18674135, 142000.000000, 253000.000000
1000000, 35314562, 18675339, 140000.000000, 255000.000000
1000000, 34664800, 18673748, 144000.000000, 253000.000000
1000000, 35346356, 18674113, 141000.000000, 254000.000000
1000000, 35393055, 18674893, 141000.000000, 255000.000000
1000000, 34778362, 18675013, 141000.000000, 255000.000000
1000000, 36134134, 18674016, 142000.000000, 254000.000000
1000000, 34778220, 18673329, 140000.000000, 253000.000000
1000000, 35444290, 18674758, 143000.000000, 255000.000000
1000000, 35057526, 18674688, 142000.000000, 253000.000000
1000000, 36885695, 18673406, 142000.000000, 255000.000000
1000000, 34644133, 18673736, 140000.000000, 254000.000000
1000000, 35854040, 18673686, 139000.000000, 253000.000000
1000000, 35679073, 18674169, 142000.000000, 256000.000000
1000000, 34152623, 18674448, 141000.000000, 256000.000000
1000000, 34957766, 18674310, 143000.000000, 254000.000000
1000000, 36086653, 18674102, 141000.000000, 254000.000000
1000000, 34187878, 18673900, 140000.000000, 254000.000000
1000000, 35217690, 18674672, 140000.000000, 254000.000000
1000000, 34528753, 18674044, 141000.000000, 254000.000000
1000000, 35974975, 18674519, 141000.000000, 253000.000000
1000000, 34698981, 18673858, 142000.000000, 254000.000000
1000000, 34996557, 18674372, 142000.000000, 253000.000000
1000000, 35839042, 18673714, 141000.000000, 255000.000000
1000000, 34446600, 18674159, 141000.000000, 254000.000000
1000000, 34551734, 18674387, 142000.000000, 253000.000000
1000000, 35187789, 18673305, 142000.000000, 253000.000000
1000000, 34362863, 18674372, 140000.000000, 254000.000000
1000000, 34914433, 18674440, 141000.000000, 254000.000000
1000000, 35020090, 18674861, 141000.000000, 254000.000000
1000000, 34471469, 18673540, 141000.000000, 254000.000000
1000000, 34649250, 18674460, 140000.000000, 253000.000000
1000000, 34665368, 18673374, 141000.000000, 254000.000000
1000000, 35632876, 18673522, 142000.000000, 254000.000000
1000000, 35036189, 18674535, 143000.000000, 253000.000000
1000000, 37139059, 18673984, 144000.000000, 254000.000000
1000000, 35757477, 18674360, 141000.000000, 254000.000000
1000000, 33975709, 18674623, 143000.000000, 253000.000000
1000000, 35781740, 18675271, 143000.000000, 257000.000000
1000000, 35735763, 18674220, 142000.000000, 253000.000000
1000000, 34007601, 18674070, 140000.000000, 254000.000000
1000000, 35246815, 18674076, 141000.000000, 254000.000000
1000000, 34823477, 18674318, 142000.000000, 255000.000000
1000000, 35594814, 18674674, 142000.000000, 253000.000000
1000000, 35160924, 18674706, 142000.000000, 254000.000000
1000000, 34976807, 18675021, 142000.000000, 254000.000000
1000000, 34624224, 18673452, 141000.000000, 254000.000000
1000000, 34437954, 18673633, 142000.000000, 254000.000000
1000000, 35457014, 18674725, 140000.000000, 254000.000000
1000000, 35009707, 18675278, 140000.000000, 253000.000000
1000000, 35305711, 18673831, 141000.000000, 254000.000000
1000000, 35117403, 18673513, 142000.000000, 253000.000000
1000000, 35057781, 18672655, 141000.000000, 254000.000000
1000000, 34644655, 18674608, 141000.000000, 253000.000000
1000000, 34856516, 18674179, 142000.000000, 253000.000000
1000000, 35342396, 18674164, 141000.000000, 254000.000000
1000000, 34548331, 18675052, 141000.000000, 255000.000000
1000000, 35714459, 18673234, 142000.000000, 254000.000000
1000000, 34265898, 18673459, 140000.000000, 254000.000000
1000000, 34190230, 18674330, 141000.000000, 253000.000000
1000000, 34929910, 18673538, 140000.000000, 254000.000000
1000000, 34554248, 18674390, 141000.000000, 253000.000000
1000000, 34453383, 18674179, 143000.000000, 254000.000000
1000000, 34195020, 18674057, 141000.000000, 254000.000000
1000000, 34799763, 18674528, 141000.000000, 253000.000000
1000000, 35110793, 18673861, 141000.000000, 253000.000000
1000000, 35014619, 18674071, 142000.000000, 254000.000000
1000000, 34888726, 18674810, 142000.000000, 253000.000000
1000000, 34840622, 18674647, 141000.000000, 254000.000000
1000000, 34991901, 18674832, 140000.000000, 254000.000000
1000000, 35237377, 18673880, 142000.000000, 253000.000000
1000000, 34363689, 18674554, 143000.000000, 254000.000000
1000000, 34026421, 18674806, 141000.000000, 253000.000000
1000000, 35091038, 18674601, 141000.000000, 253000.000000
1000000, 35672338, 18674209, 141000.000000, 253000.000000
1000000, 35354602, 18673854, 141000.000000, 253000.000000
1000000, 34952008, 18674478, 139000.000000, 254000.000000
1000000, 35712520, 18673310, 142000.000000, 253000.000000
1000000, 36094294, 18672849, 143000.000000, 254000.000000
1000000, 34482778, 18674112, 140000.000000, 254000.000000
1000000, 35574895, 18674088, 145000.000000, 254000.000000
